Before multiprocessing:
         139473373 function calls in 1154.445 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:856(get_code)
       34    0.000    0.000    0.005    0.000 reduction.py:58(dump)
       38    0.002    0.000    0.004    0.000 {method 'dump' of '_pickle.Pickler' objects}
       12    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:976(get_data)
       12    0.003    0.000    0.003    0.000 {built-in method io.open_code}
        3    0.000    0.000    0.003    0.001 threading.py:851(start)
        1    0.000    0.000    0.003    0.003 popen_spawn_win32.py:1(<module>)
        1    0.000    0.000    0.003    0.003 managers.py:712(temp)
        3    0.000    0.000    0.002    0.001 threading.py:556(wait)
        3    0.000    0.000    0.002    0.001 threading.py:280(wait)
        1    0.000    0.000    0.002    0.002 spawn.py:11(<module>)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        3    0.000    0.000    0.002    0.001 connection.py:498(Client)
        3    0.000    0.000    0.002    0.001 context.py:110(SimpleQueue)
        1    0.000    0.000    0.002    0.002 pool.py:342(_setup_queues)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
       48    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       48    0.002    0.000    0.002    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.002    0.002 connection.py:10(<module>)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
        3    0.000    0.000    0.001    0.000 connection.py:752(answer_challenge)
       12    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.001    0.001 runpy.py:1(<module>)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.001    0.001 managers.py:592(_create)
        9    0.000    0.000    0.001    0.000 connection.py:213(recv_bytes)
        5    0.000    0.000    0.001    0.000 managers.py:939(MakeProxyType)
       65    0.000    0.000    0.001    0.000 connection.py:961(reduce_pipe_connection)
       17    0.000    0.000    0.001    0.000 spawn.py:150(get_preparation_data)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1106(create_module)
        2    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.001    0.000 queues.py:340(__init__)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 managers.py:961(AutoProxy)
       65    0.000    0.000    0.001    0.000 reduction.py:106(__init__)
        3    0.000    0.000    0.001    0.000 context.py:65(Lock)
        1    0.000    0.000    0.001    0.001 pkgutil.py:1(<module>)
       17    0.000    0.000    0.001    0.000 process.py:61(_cleanup)
       38    0.001    0.000    0.001    0.000 reduction.py:38(__init__)
       67    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       29    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       17    0.000    0.000    0.001    0.000 spawn.py:78(get_command_line)
       17    0.001    0.000    0.001    0.000 {built-in method _winapi.CreatePipe}
        1    0.000    0.000    0.001    0.001 managers.py:746(__init__)
      136    0.000    0.000    0.001    0.000 popen_spawn_win32.py:117(poll)
       16    0.000    0.000    0.000    0.000 pool.py:179(Process)
       35    0.000    0.000    0.000    0.000 process.py:344(__reduce__)
        1    0.000    0.000    0.000    0.000 re.py:250(compile)
        1    0.000    0.000    0.000    0.000 re.py:289(_compile)
        1    0.000    0.000    0.000    0.000 managers.py:832(_incref)
       12    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:759(compile)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       17    0.000    0.000    0.000    0.000 process.py:80(__init__)
        4    0.000    0.000    0.000    0.000 connection.py:540(Pipe)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       17    0.000    0.000    0.000    0.000 {built-in method io.open}
       32    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
        3    0.000    0.000    0.000    0.000 managers.py:84(dispatch)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
       65    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
       20    0.000    0.000    0.000    0.000 util.py:186(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:937(parse)
     14/1    0.000    0.000    0.000    0.000 sre_parse.py:435(_parse_sub)
     14/1    0.000    0.000    0.000    0.000 sre_parse.py:493(_parse)
       17    0.000    0.000    0.000    0.000 ntpath.py:61(isabs)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      206    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       17    0.000    0.000    0.000    0.000 subprocess.py:282(_args_from_interpreter_flags)
        4    0.000    0.000    0.000    0.000 connection.py:69(arbitrary_address)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       17    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
        4    0.000    0.000    0.000    0.000 tempfile.py:375(mktemp)
      492    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        3    0.000    0.000    0.000    0.000 connection.py:737(deliver_challenge)
       97    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
       32    0.000    0.000    0.000    0.000 popen_spawn_win32.py:97(duplicate_for_child)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.000    0.000 threading.py:777(__init__)
       10    0.000    0.000    0.000    0.000 connection.py:186(send_bytes)
        3    0.000    0.000    0.000    0.000 connection.py:700(PipeClient)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
       87    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
       42    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
        7    0.000    0.000    0.000    0.000 tempfile.py:145(__next__)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
       56    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
        6    0.000    0.000    0.000    0.000 hmac.py:153(new)
       13    0.000    0.000    0.000    0.000 connection.py:284(_send_bytes)
        6    0.000    0.000    0.000    0.000 hmac.py:38(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
     22/1    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       32    0.000    0.000    0.000    0.000 reduction.py:71(duplicate)
        1    0.000    0.000    0.000    0.000 pool.py:10(<module>)
       32    0.000    0.000    0.000    0.000 queues.py:356(__getstate__)
        1    0.000    0.000    0.000    0.000 shared_memory.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:644(close)
      163    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
       13    0.000    0.000    0.000    0.000 {built-in method _winapi.WriteFile}
        1    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.000    0.000 queues.py:370(put)
        3    0.000    0.000    0.000    0.000 synchronize.py:161(__init__)
        3    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.WaitNamedPipe}
        4    0.000    0.000    0.000    0.000 tempfile.py:76(_exists)
        1    0.000    0.000    0.000    0.000 synchronize.py:10(<module>)
        4    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
        4    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
        7    0.000    0.000    0.000    0.000 tempfile.py:148(<listcomp>)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:82(add)
       34    0.000    0.000    0.000    0.000 context.py:354(set_spawning_popen)
       65    0.000    0.000    0.000    0.000 connection.py:173(fileno)
        5    0.000    0.000    0.000    0.000 threading.py:521(__init__)
       64    0.000    0.000    0.000    0.000 context.py:357(assert_spawning)
        4    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
        3    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        3    0.000    0.000    0.000    0.000 connection.py:207(send)
       56    0.000    0.000    0.000    0.000 random.py:343(choice)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
       17    0.000    0.000    0.000    0.000 spawn.py:132(_check_not_importing_main)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      163    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
      172    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       56    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 queues.py:10(<module>)
  516/494    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 pool.py:450(apply_async)
        2    0.000    0.000    0.000    0.000 functools.py:839(register)
        7    0.000    0.000    0.000    0.000 tempfile.py:134(rng)
       39    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 _collections_abc.py:840(clear)
      344    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        7    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
       12    0.000    0.000    0.000    0.000 hmac.py:61(<lambda>)
       17    0.000    0.000    0.000    0.000 managers.py:685(register)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       51    0.000    0.000    0.000    0.000 spawn.py:87(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
      136    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       17    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
       56    0.000    0.000    0.000    0.000 random.py:237(_randbelow_with_getrandbits)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
        5    0.000    0.000    0.000    0.000 threading.py:228(__init__)
       13    0.000    0.000    0.000    0.000 {built-in method _winapi.ReadFile}
       12    0.000    0.000    0.000    0.000 hashlib.py:152(__hash_new)
      121    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       30    0.000    0.000    0.000    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
       17    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        2    0.000    0.000    0.000    0.000 pool.py:744(__init__)
      130    0.000    0.000    0.000    0.000 connection.py:163(readable)
       85    0.000    0.000    0.000    0.000 popen_spawn_win32.py:57(<genexpr>)
       34    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        4    0.000    0.000    0.000    0.000 ntpath.py:77(join)
       17    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
       89    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       93    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       16    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
        4    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
        9    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
    27/10    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        2    0.000    0.000    0.000    0.000 random.py:116(__init__)
       91    0.000    0.000    0.000    0.000 connection.py:139(_check_closed)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       12    0.000    0.000    0.000    0.000 {built-in method _hashlib.new}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
       97    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
        6    0.000    0.000    0.000    0.000 hmac.py:137(digest)
       17    0.000    0.000    0.000    0.000 subprocess.py:272(_optim_args_from_interpreter_flags)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       17    0.000    0.000    0.000    0.000 process.py:193(name)
        5    0.000    0.000    0.000    0.000 connection.py:281(_close)
      130    0.000    0.000    0.000    0.000 connection.py:168(writable)
        2    0.000    0.000    0.000    0.000 random.py:125(seed)
       57    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        3    0.000    0.000    0.000    0.000 connection.py:178(close)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.000    0.000 managers.py:739(BaseProxy)
       41    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       17    0.000    0.000    0.000    0.000 context.py:249(get_start_method)
        7    0.000    0.000    0.000    0.000 {built-in method _winapi.SetNamedPipeHandleState}
       41    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.000    0.000 weakref.py:162(__setitem__)
        6    0.000    0.000    0.000    0.000 hmac.py:128(_current)
       77    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      221    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001A43D60E8B0}
        1    0.000    0.000    0.000    0.000 util.py:369(__init__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      232    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        8    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.000    0.000 functools.py:798(singledispatch)
       17    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      118    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       23    0.000    0.000    0.000    0.000 util.py:48(debug)
        3    0.000    0.000    0.000    0.000 threading.py:750(_newname)
       18    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       51    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        9    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       29    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       24    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 util.py:386(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
       11    0.000    0.000    0.000    0.000 connection.py:122(__init__)
       17    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
       35    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       16    0.000    0.000    0.000    0.000 process.py:205(daemon)
       12    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
       66    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
       38    0.000    0.000    0.000    0.000 process.py:37(current_process)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       33    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        3    0.000    0.000    0.000    0.000 threading.py:1185(_make_invoke_excepthook)
       17    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
        3    0.000    0.000    0.000    0.000 threading.py:1118(daemon)
       26    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       10    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 pool.py:173(Pool)
        4    0.000    0.000    0.000    0.000 {built-in method _pickle.loads}
        8    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       38    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        3    0.000    0.000    0.000    0.000 threading.py:962(_stop)
        5    0.000    0.000    0.000    0.000 connection.py:135(__del__)
       40    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 threading.py:1314(current_thread)
       46    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       33    0.000    0.000    0.000    0.000 process.py:189(name)
        8    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        2    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
        1    0.000    0.000    0.000    0.000 managers.py:490(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       18    0.000    0.000    0.000    0.000 process.py:213(authkey)
        4    0.000    0.000    0.000    0.000 weakref.py:345(__new__)
       73    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       94    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       36    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       73    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       18    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       17    0.000    0.000    0.000    0.000 spawn.py:45(get_executable)
        1    0.000    0.000    0.000    0.000 enum.py:852(__and__)
       37    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
        1    0.000    0.000    0.000    0.000 context.py:41(cpu_count)
        3    0.000    0.000    0.000    0.000 connection.py:100(address_type)
        3    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       36    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       22    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:287(update)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       13    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
       20    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        3    0.000    0.000    0.000    0.000 threading.py:268(_acquire_restore)
        6    0.000    0.000    0.000    0.000 threading.py:1103(daemon)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(exec_module)
        3    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
        1    0.000    0.000    0.000    0.000 synchronize.py:360(Barrier)
        6    0.000    0.000    0.000    0.000 {method 'copy' of '_hashlib.HASH' objects}
        3    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
        3    0.000    0.000    0.000    0.000 connection.py:59(_init_timeout)
        1    0.000    0.000    0.000    0.000 shared_memory.py:247(ShareableList)
       15    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 connection.py:119(_ConnectionBase)
        8    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
        1    0.000    0.000    0.000    0.000 managers.py:138(Server)
        1    0.000    0.000    0.000    0.000 {built-in method nt.cpu_count}
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
       56    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 managers.py:50(<listcomp>)
       16    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        3    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
        4    0.000    0.000    0.000    0.000 tempfile.py:225(_get_candidate_names)
        5    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 weakref.py:365(__init__)
        2    0.000    0.000    0.000    0.000 enum.py:289(__call__)
        3    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
        1    0.000    0.000    0.000    0.000 managers.py:483(BaseManager)
        4    0.000    0.000    0.000    0.000 weakref.py:350(__init__)
        6    0.000    0.000    0.000    0.000 hmac.py:111(update)
        1    0.000    0.000    0.000    0.000 queues.py:35(Queue)
       12    0.000    0.000    0.000    0.000 {method 'translate' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
        1    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       13    0.000    0.000    0.000    0.000 connection.py:147(_check_writable)
        1    0.000    0.000    0.000    0.000 managers.py:730(__init__)
        3    0.000    0.000    0.000    0.000 connection.py:88(_validate_family)
        1    0.000    0.000    0.000    0.000 pool.py:276(_get_sentinels)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
        9    0.000    0.000    0.000    0.000 threading.py:529(is_set)
        1    0.000    0.000    0.000    0.000 util.py:378(__enter__)
       12    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 weakref.py:485(popitem)
        8    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        1    0.000    0.000    0.000    0.000 shared_memory.py:49(SharedMemory)
       13    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_winapi.Overlapped' objects}
        8    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 FileReader.py:10(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:437(Listener)
        1    0.000    0.000    0.000    0.000 queues.py:338(SimpleQueue)
        6    0.000    0.000    0.000    0.000 {method 'ljust' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 types.py:171(__get__)
        3    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        9    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        6    0.000    0.000    0.000    0.000 reduction.py:43(register)
        9    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        2    0.000    0.000    0.000    0.000 enum.py:580(__new__)
       13    0.000    0.000    0.000    0.000 connection.py:143(_check_readable)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
        1    0.000    0.000    0.000    0.000 util.py:182(Finalize)
        1    0.000    0.000    0.000    0.000 pkgutil.py:269(ImpLoader)
        4    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
        1    0.000    0.000    0.000    0.000 reduction.py:206(_reduce_method)
        1    0.000    0.000    0.000    0.000 managers.py:1261(SharedMemoryServer)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
        1    0.000    0.000    0.000    0.000 util.py:108(_platform_supports_abstract_sockets)
        1    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        2    0.000    0.000    0.000    0.000 pool.py:348(_check_running)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:38(Popen)
        1    0.000    0.000    0.000    0.000 managers.py:67(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:353(Connection)
        3    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 managers.py:1087(BarrierProxy)
        1    0.000    0.000    0.000    0.000 pool.py:80(MaybeEncodingError)
        1    0.000    0.000    0.000    0.000 pool.py:157(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF9E94E5C60}
        7    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        7    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 context.py:233(get_context)
        1    0.000    0.000    0.000    0.000 managers.py:61(Token)
        1    0.000    0.000    0.000    0.000 managers.py:1224(_SharedMemoryTracker)
        1    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 managers.py:1306(SharedMemoryManager)
        1    0.000    0.000    0.000    0.000 enum.py:683(value)
        2    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 managers.py:1002(Value)
        1    0.000    0.000    0.000    0.000 pool.py:918(ThreadPool)
        1    0.000    0.000    0.000    0.000 synchronize.py:210(Condition)
        6    0.000    0.000    0.000    0.000 context.py:187(get_context)
        1    0.000    0.000    0.000    0.000 pool.py:742(ApplyResult)
        2    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 managers.py:1021(IteratorProxy)
        1    0.000    0.000    0.000    0.000 managers.py:1125(ValueProxy)
        1    0.000    0.000    0.000    0.000 connection.py:273(PipeConnection)
        1    0.000    0.000    0.000    0.000 util.py:381(__exit__)
        3    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        4    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 managers.py:729(ProcessLocalSet)
        1    0.000    0.000    0.000    0.000 connection.py:644(PipeListener)
        1    0.000    0.000    0.000    0.000 pkgutil.py:195(ImpImporter)
        1    0.000    0.000    0.000    0.000 queues.py:295(JoinableQueue)
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
