Before multiprocessing:
         139473373 function calls in 1154.445 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        1    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.000    0.000 connection.py:540(Pipe)
        1    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
     22/1    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
        1    0.000    0.000    0.000    0.000 connection.py:69(arbitrary_address)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 tempfile.py:375(mktemp)
        3    0.000    0.000    0.000    0.000 tempfile.py:145(__next__)
        1    0.000    0.000    0.000    0.000 synchronize.py:10(<module>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        4    0.000    0.000    0.000    0.000 connection.py:961(reduce_pipe_connection)
        2    0.000    0.000    0.000    0.000 spawn.py:150(get_preparation_data)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        2    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
        1    0.000    0.000    0.000    0.000 context.py:65(Lock)
        2    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
        3    0.000    0.000    0.000    0.000 tempfile.py:134(rng)
      119    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.000    0.000 reduction.py:106(__init__)
        1    0.000    0.000    0.000    0.000 synchronize.py:161(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      120    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 tempfile.py:148(<listcomp>)
      121    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        4    0.000    0.000    0.000    0.000 process.py:344(__reduce__)
        4    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
       24    0.000    0.000    0.000    0.000 random.py:343(choice)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        4    0.000    0.000    0.000    0.000 synchronize.py:100(__getstate__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        2    0.000    0.000    0.000    0.000 spawn.py:78(get_command_line)
        9    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
  289/267    0.000    0.000    0.000    0.000 {built-in method builtins.len}
    27/10    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        2    0.000    0.000    0.000    0.000 process.py:80(__init__)
        2    0.000    0.000    0.000    0.000 random.py:116(__init__)
        2    0.000    0.000    0.000    0.000 random.py:125(seed)
        1    0.000    0.000    0.000    0.000 tempfile.py:76(_exists)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
       41    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
       66    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       92    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
        1    0.000    0.000    0.000    0.000 context.py:85(BoundedSemaphore)
       23    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       77    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       24    0.000    0.000    0.000    0.000 random.py:237(_randbelow_with_getrandbits)
      204    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 synchronize.py:144(__init__)
        2    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
        1    0.000    0.000    0.000    0.000 functools.py:798(singledispatch)
        4    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
        2    0.000    0.000    0.000    0.000 util.py:186(__init__)
        8    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001C0AFC97940}
        2    0.000    0.000    0.000    0.000 ntpath.py:61(isabs)
      196    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 popen_spawn_win32.py:97(duplicate_for_child)
        6    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       51    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      205    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        9    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 subprocess.py:282(_args_from_interpreter_flags)
        3    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        8    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       35    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 ntpath.py:77(join)
        1    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 queues.py:71(_reset)
       18    0.000    0.000    0.000    0.000 context.py:351(get_spawning_popen)
       10    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       26    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
        8    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        4    0.000    0.000    0.000    0.000 context.py:354(set_spawning_popen)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       19    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
       38    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        2    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        6    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
        4    0.000    0.000    0.000    0.000 reduction.py:71(duplicate)
        8    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
        2    0.000    0.000    0.000    0.000 functools.py:839(register)
       15    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 queues.py:57(__getstate__)
        7    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       42    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        6    0.000    0.000    0.000    0.000 context.py:357(assert_spawning)
       18    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(exec_module)
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
        3    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:117(poll)
       27    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 enum.py:852(__and__)
       22    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       55    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       55    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       37    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.SetNamedPipeHandleState}
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
       20    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:840(clear)
       40    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 weakref.py:287(update)
       47    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 synchronize.py:360(Barrier)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 threading.py:228(__init__)
        1    0.000    0.000    0.000    0.000 queues.py:35(Queue)
       22    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 _weakrefset.py:82(add)
        1    0.000    0.000    0.000    0.000 connection.py:119(_ConnectionBase)
        4    0.000    0.000    0.000    0.000 connection.py:173(fileno)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        4    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        2    0.000    0.000    0.000    0.000 spawn.py:132(_check_not_importing_main)
       22    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 weakref.py:365(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:225(_get_candidate_names)
        6    0.000    0.000    0.000    0.000 spawn.py:87(<genexpr>)
        2    0.000    0.000    0.000    0.000 enum.py:289(__call__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        2    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
        8    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 weakref.py:485(popitem)
        9    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       10    0.000    0.000    0.000    0.000 popen_spawn_win32.py:57(<genexpr>)
       10    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 types.py:171(__get__)
        9    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.000    0.000 connection.py:122(__init__)
        7    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.000    0.000 connection.py:163(readable)
        8    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
       24    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        7    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        8    0.000    0.000    0.000    0.000 connection.py:168(writable)
        1    0.000    0.000    0.000    0.000 connection.py:437(Listener)
        1    0.000    0.000    0.000    0.000 connection.py:353(Connection)
        1    0.000    0.000    0.000    0.000 util.py:108(_platform_supports_abstract_sockets)
        1    0.000    0.000    0.000    0.000 util.py:182(Finalize)
        1    0.000    0.000    0.000    0.000 pkgutil.py:269(ImpLoader)
        1    0.000    0.000    0.000    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
        2    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 connection.py:273(PipeConnection)
        1    0.000    0.000    0.000    0.000 FileReader.py:10(__init__)
        2    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        2    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        2    0.000    0.000    0.000    0.000 enum.py:580(__new__)
        2    0.000    0.000    0.000    0.000 context.py:249(get_start_method)
        1    0.000    0.000    0.000    0.000 synchronize.py:210(Condition)
        2    0.000    0.000    0.000    0.000 subprocess.py:272(_optim_args_from_interpreter_flags)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:38(Popen)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
        1    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        8    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        6    0.000    0.000    0.000    0.000 process.py:37(current_process)
